,,,,,,,,PRE-CP,,,,,,,,POST-CP,,,,,,IMPROVEMENT,,
Group,Method,Backbone,Dataset,NUM_DATA,model_size,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,WANDB LINK,RESPONSIBLE,knn_f1_mean,knn_f1_std,linear_f1_mean,linear_f1_std,finetune_f1_mean,finetune_f1_std,knn_f1_improvement_mean,lp_f1_improvement_mean,ft_f1_improvement
,LeJEPA-CP,DINOv3,Food101,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-diet-dinov3-food101?nw=nwuserhaodoz0118,haodong,0.7734,0.0049,0.8379,0.0034,0.7359,0.0072,,haodong,0.596534,0.010878,0.749225,0.007030,0.813220,0.004266,-0.1769,-0.0887,0.0773
,LeJEPA-CP,DINOv3,Food101,10000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-diet-dinov3-food101?nw=nwuserhaodoz0118,haodong,0.8741,0.0013,0.9115,0.0029,0.8583,0.0027,,haodong,0.760812,0.003379,0.839075,0.001777,0.905591,0.001323,-0.1133,-0.0724,0.0473
,LeJEPA-CP,DINOv3,Food101,25000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-diet-dinov3-food101?nw=nwuserhaodoz0118,haodong,0.8935,0.0026,0.9276,0.0010,0.8833,0.0038,,haodong,0.832077,0.002285,0.879313,0.002578,0.926638,0.001055,-0.0614,-0.0483,0.0433
,LeJEPA-CP,DINOv3,Food101,MAX (75750),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-diet-dinov3-food101?nw=nwuserhaodoz0118,haodong,0.9124,0.0000,0.9381,0.0009,0.9033,0.0032,,haodong,0.854504,0.000606,0.886074,0.003513,0.897436,0.001265,-0.0579,-0.0520,-0.0058
,LeJEPA-CP,MAE,Food101,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-food101?nw=nwuserhaodoz0118,haodong,0.0318,0.0005,0.1574,0.0054,0.3904,0.0089,,haodong,0.106992,0.006930,0.220585,0.003723,0.436635,0.003961,0.0752,0.0632,0.0462
,LeJEPA-CP,MAE,Food101,MAX (75750),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-food101?nw=nwuserhaodoz0118,haodong,0.1034,0.0000,0.4305,0.0014,0.8719,0.0015,,haodong,0.691866,0.003450,0.767025,0.002529,0.869632,0.001907,0.5885,0.3365,-0.0023
,LeJEPA-CP,CLIP,Food101,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-food101?nw=nwuserhaodoz0118,haodong,0.6995,0.0083,0.7093,0.0064,0.4302,0.0034,,haodong,0.378327,0.018460,0.560009,0.014246,0.719534,0.014136,-0.3212,-0.1493,0.2893
,LeJEPA-CP,CLIP,Food101,MAX (75750),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-food101?nw=nwuserhaodoz0118,haodong,0.8683,0.0000,0.8933,0.0005,0.8496,0.0019,,haodong,0.729440,0.001047,0.771085,0.001751,0.849206,0.001124,-0.1389,-0.1222,-0.0004
,LeJEPA-CP,DINOv3,FGVC_Aircraft,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-fgvc_aircraft,haodong,0.3487,0.0199,0.2711,0.0132,0.1388,0.0056,,haodong,0.348728,0.019851,0.261274,0.011166,0.221177,0.008757,0.0000,-0.0098,0.0824
,LeJEPA-CP,DINOv3,FGVC_Aircraft,500,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-fgvc_aircraft,haodong,0.4463,0.0040,0.5199,0.0069,0.4658,0.0214,,haodong,0.271168,0.011829,0.399295,0.015572,0.530252,0.015147,-0.1751,-0.1206,0.0645
,LeJEPA-CP,DINOv3,FGVC_Aircraft,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-fgvc_aircraft,haodong,0.5152,0.0013,0.6079,0.0158,0.6085,0.0113,,haodong,0.284166,0.005855,0.475175,0.019097,0.684346,0.012656,-0.2310,-0.1327,0.0758
,LeJEPA-CP,DINOv3,FGVC_Aircraft,MAX (3400),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-fgvc_aircraft,haodong,0.6239,0.0000,0.7258,0.0085,0.8005,0.0097,,haodong,0.309710,0.003229,0.491847,0.010364,0.829063,0.000985,-0.3142,-0.2340,0.0286
,LeJEPA-CP,MAE,FGVC_Aircraft,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-fgvc_aircraft,haodong,0.0400,0.0024,0.0548,0.0020,0.3493,0.0180,,haodong,0.085274,0.008966,0.113862,0.002883,0.424040,0.006146,0.0453,0.0591,0.0747
,LeJEPA-CP,MAE,FGVC_Aircraft,MAX (3400),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-mae-fgvc_aircraft,haodong,0.0511,0.0000,0.0820,0.0029,0.6742,0.0036,,haodong,0.194531,0.005740,0.246997,0.002771,0.705933,0.008522,0.1434,0.1650,0.0317
,LeJEPA-CP,CLIP,FGVC_Aircraft,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-fgvc_aircraft,haodong,0.2792,0.0018,0.3050,0.0027,0.3789,0.0024,,haodong,0.204191,0.005704,0.262418,0.009466,0.409694,0.014279,-0.0750,-0.0426,0.0308
,LeJEPA-CP,CLIP,FGVC_Aircraft,MAX (3400),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-clip-fgvc_aircraft,haodong,0.3512,0.0000,0.4038,0.0050,0.6053,0.0018,,haodong,0.267865,0.003360,0.283554,0.007570,0.671909,0.003392,-0.0833,-0.1202,0.0666
,,,,,,,,,,,,,,,,,,,,,,,,
,MAE-CP,DINOv3,DermaMNIST,100,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-dermamnist?nw=nwuserhaodoz0118,haodong,0.1197,0.0046,0.2820,0.0209,0.3215,0.0246,,haodong,,,,,,,,,
,MAE-CP,DINOv3,DermaMNIST,500,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-dermamnist?nw=nwuserhaodoz0118,haodong,0.2052,0.0210,0.4087,0.0189,0.5441,0.0402,,haodong,,,,,,,,,
,MAE-CP,DINOv3,DermaMNIST,1000,ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-dermamnist?nw=nwuserhaodoz0118,haodong,0.2604,0.0090,0.4693,0.0517,0.6263,0.0148,,haodong,,,,,,,,,
,MAE-CP,DINOv3,DermaMNIST,MAX (7007),ViT-B,https://wandb.ai/haodoz0118-brown-university/pre-cp-dinov3-dermamnist?nw=nwuserhaodoz0118,haodong,0.4542,0.0000,0.6332,0.0099,0.8596,0.0122,,haodong,,,,,,,,,
